Subject,Course,Name,Description,Credit Hours,Degree Attributes,CRN,Average Grade,Degree Attributes Codes
CHLH,127,Peer Facilitation for Alcohol Prevention,"As a pervasive and influential part of the American college experience, alcohol can serve many purposes for students. By redefining alcohol use and misuse, reframing the perspective of behavior change, and transforming social norms, this course will help you develop the skills to promote individual, interpersonal, and community-level behavior change. This course explores the use of peer facilitation as a tool for health promotion at the University of Illinois at Urbana-Champaign campus. Prerequisite: Restricted to students with Freshman, Sophomore, or Junior class standing.",3,,71650,,
CHLH,200,Mental Health Issues,"An introductory study of a broad range of common mental disorders. Emphasis will be placed on the assessment, etiology, and treatment of mental disorders. Students will examine different theoretical perspectives on mental disorders, including biomedical, cognitive, behavioral, and cultural perspectives, and learn how to integrate various perspectives in describing mental illness. Students will also learn to describe the research methods used in the study of mental disorders.",3,,31113,3.42,
CHLH,201,Public Health Research Methods,"This course is designed to provide students with an introduction to the basic principles and concepts underlying research methods on public health. Topics include conceptualization, measurement, research design, sampling, evaluation, data sources and ethics. The students will be exposed to a wide range of quantitative, and mixed methods.",3,,64933,3.4,
CHLH,203,Introduction to Health Technology,"Introduces the topic of health technology and provide an opportunity for students to explore the potential benefits and risks associated with new technologies. Students will learn about how technology can be used to improve people’s health and support healthier communities, how technology is transforming health care, and how technology can be used to bridge social determinants of health and health inequalities. Students will be introduced to the field of human-centered design which focuses the design on understanding users’ needs, and human factors which draws on the understanding of human capabilities to create easy to use applications and devices. Students will also learn the basics about behavioral theories and research methods relevant to creating effective health technology interventions.",3,,71655,3.55,
CHLH,206,Human Sexuality,"Utilizes a multi-disciplinary approach to examine diverse physiological and behavioral aspects of human sexuality. Key topics include sexual anatomy and development; gender and sexual expression; birth control; conception, pregnancy and childbirth; sexually transmitted infections; sexual assault and exploitation.",2,,65902,3.52,
CHLH,210,Community Health Organizations,"Overview of institutions and agencies which provide health information, education, services, and care. Includes historical foundations, constituencies, organizational goals and structure, funding and expenditures, modes of service delivery, political and ethical issues.",2,,48218,3.5,
CHLH,243,Drug Use and Misuse,"Offers the opportunity to learn about key concepts critical for understanding substance misuse and its relevance to personal and public health. Students will be introduced to the concepts of substance misuse, dependence, and addiction, licit and illicit drugs, and how drugs can impact behavior. The course will cover where drugs come from, how they get into the brain, and how drug action can lead to behavioral responses impacting the physical and emotional responses selected substances have on the human brain.",2,,65894,3.48,
CHLH,244,Health Statistics,Introduction to biostatistics. Students learn concepts necessary to understand statistical inference as applied to health issues.,3,['Quantitative Reasoning I course'],31235,,[10]
CHLH,250,Health Care Systems,"Overview of the major issues confronting health care systems from a macro perspective. Identification and analysis of the functions, major participants and trends in health care systems in the United States and abroad. Attention on current and emerging issues having implications for health care systems in industrialized nations.",3,,31249,3.54,
CHLH,260,Introduction to Medical Ethics,"Course stresses normative bioethics: decisions about what is ethical behavior in a variety of real and practical issues. Analysis of medical ethical cases at the individual, community and wider national and international levels will be addressed. Approved for both letter and S/U grading.",3,['Humanities - Hist & Phil course'],70242,3.555,[6]
CHLH,274,Introduction to Epidemiology,"Introduces the basic principles and methods of epidemiology, with an emphasis on critical thinking, analytic skills, and application to clinical practice and research. Topics include patterns of disease occurrence, outcome measures, methods of adjustment, surveillance, quantitative study designs, and sources of data, as applied in health education, health services administration and planning, health policy, and environmental health.",3,['Quantitative Reasoning I course'],31263,3.3,[10]
CHLH,304,Foundations of Health Behavior,"Examination of the application of the social and behavioral sciences to health and health behavior. Psychological, social psychological, and sociological approaches to health behavior are analyzed. Topics covered include development of health attitudes and behaviors, perceptions of health and illness, methods of changing health behavior and patient-provider interaction. Prerequisite: CHLH 100, or consent of instructor; completion of the campus Composition I requirement.",4,"['Social & Beh Sci - Beh Sci', ' Advanced Composition course']",31114,3.27,"[1, 2]"
CHLH,380,Orientation to Internship,Provides students with information concerning placement in internship. Topics include internship requirements; student responsibilities; preparation of resumes and cover letters; selecting an organization or site; interviewing; issues of professional development. Prerequisite: Junior standing.,1,,54665,3.14,
CHLH,409,Women's Health,"Examines the culture of women in relationship to their health. Study is devoted to selected health care issues, developmental and physiological changes in the life cycle, health problems that affect women, and the maintenance of health. Same as GWS 409. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHLH 100 or equivalent; or consent of instructor.",3,,31274,3.77,
CHLH,410,Public Health Practice,Theory and practice of public health promotion as they relate to educational approaches in solving community health problems. 4 undergraduate hours. 4 graduate hours. Prerequisite: CHLH 210 or consent of instructor.,4,,31278,3.73,
CHLH,455,Health Services Financing,"Examines major topics and emerging trends in health financing, including sources of revenue, public and private financing organizations, reimbursement and sources of revenue to health providers, and capital financing in the health care industry. 3 undergraduate hours. 3 graduate hours. Prerequisite: Junior standing.",3,,31287,3.54,
CHLH,457,Health Planning,"Survey of the history and objectives of health planning as related to medical care delivery in the United States; methods of health, institutional and community planning; planning and marketing concepts and methods; analysis of consumer behavior, public policies, and private competitive forces. Same as SOCW 457. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHLH 250 and junior standing.",3,,31292,3.83,
CHLH,458,Health Administration,"Examines management principles relative to health care institutions emphasizing goal setting, decision making, system analysis, organizational structure, conflict resolution, and leadership theories. 3 undergraduate hours. 3 graduate hours. Prerequisite: Senior or graduate standing, or consent of instructor.",3,,31294,3.63,
CHLH,485,Community Health Internship,"Provides students with a supervised field experience in official, voluntary, and professional health agencies, and is designed to allow students to gain work experience in actual field situations. Students will work in University-approved health agencies and/or on course assignments that will prepare students for their future careers as health professionals. These experiences will be tailored for each student. The completion of the internship is a requirement for graduation for all Community Health students. 8 undergraduate hours. No graduate credit. Approved for S/U grading only. Prerequisite: Senior standing in Community Health. Restricted to Community Health major(s). Restricted to students with Senior class standing.",8,,31269,,
CHLH,541,Health Disparities Over the Life Course,"This course provides students with an understanding of how institutional, sociocultural, and individual factors contribute to racial/ethnic, socioeconomic, and sex health disparities over the life-course. A lifespan developmental approach is adopted to examine issues of health disparities in greater depth. 4 graduate hours. No professional credit. Prerequisite: Restricted to graduate students.",4,,70087,,
CHLH,550,Health Policy: United States,"Comprehensive analysis of the policy process in health care in the United States; systematic and critical review of health policy development, implementation, and evaluation; impact of government at all levels and the role of providers, industry, labor, and consumer in health policy. Prerequisite: Admission to graduate program in community health or the MBA Administration Program; CHLH 429; or consent of instructor.",4,,31303,3.84,
CHLH,551,Health Administration Professionalism,The overall goal of this course is to introduce students to concepts of professionalism and public service. These concepts will be utilized to directly prepare for the Applied Practice Experience and the Integrative Learning Experience. Both the Applied Practice Experience and Integrative Learning Experience are supervised and evaluated field experiences in healthcare settings of your choice. This seminar prepares students to formulate and identify meaningful practice experiences. Students will take this course twice during the first academic year of enrollment in the MSHA program. 1 graduate hour. No professional credit. May be repeated in separate semesters for a maximum of 2 hours. Required of all MSHA students during the first year of their program. Prerequisite: Restricted to Health Administration major(s).,1,,72051,3.95,
CHLH,553,Health Finance,"Provides you with an understanding of finance principles that health care executives will encounter and work with on a daily basis. Through the course, you will examine major topics and emerging trends in health financing, including sources of revenue, public and private financing organizations, reimbursement and sources of revenue to health providers, and capital financing in the health care industry. 4 graduate hours. No professional credit. Prerequisite: Restricted to Master of Health Administration and Master of Public Health Students.",4,,73151,3.91,
CHLH,554,Advanced Health Finance,"Intended to help students develop an applied understanding of financial management principles and concepts required to implement decisions that lead to effective and efficient financial performance outcomes for healthcare organizations. Course materials are designed to equip students with a competent grasp of advanced fundamentals of financial management skills that include Financial Condition Analysis, Variance Analysis and Cash Budgeting, and Revenue Cycle and Current Accounts Management. 4 graduate hours. No professional credit. Prerequisite: CHLH 553, related class, or instructor approval. Restricted to Health Administration or Master of Public Health Students.",4,,73150,,
CHLH,555,Healthcare Quality,"Provides an introduction to fundamentals in healthcare quality and will prepare students as leaders in the field of healthcare. Students will be provided with the opportunity to gain an in-depth understanding of healthcare quality through real life experiences presented by different healthcare leaders in the community. Students will be able to not only recognize concepts, but also be able to synthesize and apply concepts to various situations, and generate evidence-based solutions for difficult quality and process problems. 4 graduate hours. No professional credit. Prerequisite: Restricted to Health Administration Students and MPH Students.",4,,73149,,
CHLH,573,Biostatistics in Public Health,"Introduction to fundamental topics in biostatistics in public health, covering univariate and bivariate statistics as well as basic topics in multivariate analysis. Including practice in analyzing health data through computer laboratory sessions.",4,,70091,3.63,
CHLH,577,Health Program Evaluation,Use of research methods and theory for evaluation of initiatives and programs in public health and medical care. Emphasis on acquiring skills in evaluation and conducting evaluations whose results have impact on public health practice. Covers different theories and perspectives on health evaluation. Review of published evaluations used to illustrate research methods and practical issues in program evaluation. Prerequisite: MPH student or consent of instructor.,4,,58593,,
CHLH,581,Professionalism in Public Health,The overall goal of this course is to introduce MPH students to concepts of professionalism and public service. These concepts will be utilized to directly prepare for the MPH Applied Practice Experience and the MPH Integrative Learning Experience. Both the Applied Practice Experience and Integrative Learning Experience are supervised and evaluated field experiences in public health practice settings of your choice. This seminar prepares students to formulate and identify meaningful practice experiences. Students will take this course twice during the first academic year of enrollment in the MPH program. 1 graduate hour. No professional credit. May be repeated in separate semesters for a maximum of 2 hours. Required of all MPH students during the first year of their program. Prerequisite: Restricted to MPH students.,1,,70632,3.88,
CHLH,582,Advanced Biostatistics,"The aim of this advanced course is to further develop students' skills in a broad range of statistical methods applied in the health sciences. Methods covered in this course will primarily focus on those used to analyze and interpret data collected from observational studies and clinical trials. The course will cover the following topics power & sample size calculations, descriptive statistic, general & generalized linear models, categorical data analysis, longitudinal data analysis, survival analysis. 4 graduate hours. 4 professional hours. Prerequisite: CHLH 573 & CHLH 568 or equivalent. Restricted to graduate Public Health majors at Urbana-Champaign.",4,,71406,,
CHLH,589,MPH Integrative Learning Experience,"Provides MPH students an opportunity to synthesize, integrate, and apply knowledge and skills acquired in MPH coursework, through work on a project relevant to public health practice. Generally offered for MPH students in their last semester of study in the MPH program. Prerequisite: MPH student.",2,,58594,,
CHLH,591,Seminar,"Lecture, discussions, and critiques on kinesiology and community health related subjects by faculty members and visiting professional leaders; presentation and criticism of student research. Approved for S/U grading only. May be repeated in subsequent terms as topics vary.",1,,31306,,
CHP,395,Interdisciplinary Seminar,"Seminar on interdisciplinary topics in the natural sciences, social sciences, humanities, and arts. Open to Chancellor's Scholars and other honors students. May be repeated to a maximum of 6 hours if topics vary. Prerequisite: Junior standing in the Campus Honors Program.",3,['Camp Honors/Chanc Schol course'],31307,,[4]
CHP,396,Interdisciplinary Seminar ACP,Course is identical to CHP 395 except for the additional writing component. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing in or permission of the Campus Honors Program. Completion of campus Composition I general education requirement.,3,"['Camp Honors/Chanc Schol', ' Advanced Composition course']",46862,,"[7, 2]"
CI,205,Undergraduate Honors Research,"Course focuses on reading/understanding education research and working with a College of Education faculty mentor on a small research project. Student projects will be presented at the Spring Campus Undergraduate Research Symposium. Classes initially will be led by the instructor, but later will be conducted as a seminar with students leading discussions on the topic of their research. To the extent possible, students will select readings and research topics of personal interest. May be repeated in separate semesters if topics vary. Prerequisite: Restricted to College of Education James Scholar Program Students.",1,,69379,,
CI,210,Introduction to Digital Learning Environments,"Surveys the field of digital environments and their capacity to support teaching and learning. Examines theories of interactivity, immersion, learning with multi-media, and digital literacies to discuss and evaluate various digital environments. Students learn to critically assess digital environments and to create original prototypes that target a specific and important learning or teaching goal. Environments that will be discussed and experimented with in class include virtual worlds, social networks, digital classrooms, interactive exhibits, video games, and tangible technologies.",3,['Social & Beh Sci - Beh Sci course'],70204,3.83,[1]
CI,401,Introductory Teaching in a Diverse Society,"Orients the student to ways in which English, Mathematics, Science, Social Studies or Computer Science is learned in school settings. Integrates an introduction to the use of technology as both a tool and a context for teaching and learning. As participants in a series of learning activities, students will reflect on the teaching and learning of English, Mathematics, Science, Social Studies or Computer Science from an inquiry oriented perspective. Coursework is integrated with a school field experience to connect theory with practice in an examination of research and current trends. 3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to the Secondary Teacher Education Program, Department of Curriculum and Instruction Computer Science licensure program or consent of the instructor/department.",3,,46092,3.763333333333333,
CI,404,Teaching and Assessing Secondary School Students,"Emphasizes the practical application of theory and recommended practices for developing curriculum, teaching, and assessing learning in the middle and senior high school years. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 402 or CI 403. Concurrent enrollment in EDPR 442 required.",3,,31868,3.89,
CI,407,Theory Practice in Elementary School Teaching II,"Course continues the examination of teaching in the elementary grades, begun in CI 405 and CI 406. In addition to continuing the study of some topics introduced in the previous courses, students will focus on the following topics as they complete student teaching: designing instruction for classes including special needs students, managing technology in the classroom, and working with parents. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 406; admission to the Elementary Teacher Education Program. Requires concurrent enrollment in EDPR 432.",3,,31903,3.93,
CI,415,"Language Varieties, Cultures and Learning","For students in the early childhood, elementary and middle grades licensure programs. Introduces students to issues related to first- and second-language development, cultural diversity, and language variation. Addresses the above issues in terms of teaching and learning and serves as a base for subsequent courses that will extend these issues in the content areas. 3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to a teacher preparation program.",3,,52440,3.805,
CI,425,"Early Childhood Education Instructional Planning, Assessment &amp; Learning Environments","Examines grade/age specific learning standards and how standards are deconstructed to inform and develop measurable, substantive instructional objectives. Also focuses on planning for instruction and assessment, guidance and management, and effective use of the learning environment. Analysis of assessment data to inform instructional decisions will also be included. 3 undergraduate hours. No graduate credit. Prerequisite: For students in the Early Childhood Professional Education concentration.",3,,74728,,
CI,431,Teaching Elementary Mathematics,"Examines the organization, scope, and sequence of the mathematics program and the functional nature of mathematics; methods, techniques, experiences, and materials of value in teaching mathematics, and the role of the classroom teacher. Includes laboratory experience, with supervised problem solving. 4 undergraduate hours. 4 graduate hours. Credit is not given for both CI 430 and CI 431. Prerequisite: MATH 103; admission to the Special Education Program.",4,,31938,3.89,
CI,432,Investigative Approach to Elementary Mathematics Instruction,"Course will model and examine an investigative approach to elementary mathematics instruction, which is purposeful, inquiry-based, and meaningful mathematics instruction. Particular focus will be given to the teaching and learning of measurement, geometry and algebra/functions. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 430 or CI 431; admission to the Elementary Teacher Education Program.",3,,63324,3.955,
CI,435,Technology Applications for Teachers,"In this course, students will dive in-depth into the opportunities and challenges of integrating technology into formal K-12 classrooms. Students will get a chance to critically examine a range of learning technologies, including examples of their use and approaches for assessing their efficacy. As an outcome of this course, each student will construct a lesson plan for integrating a chosen technology in their own classroom. 4 undergraduate hours. 4 graduate hours.",4,,44822,,
CI,443,Mathematics in Early Childhood Education,"Focuses on the teaching of foundational mathematical concepts in prekindergarten, kindergarten, and the primary grades. Pre-service teachers will learn the value of ""mathematizing"" the worlds of children and creating authentic experiences through which children learn key mathematics concepts. 3 undergraduate hours. 3 graduate hours. Prerequisite: Completed or concurrent enrollment in general education requirements in mathematics or equivalent, admission to the Early Childhood Teacher Education Program.",3,,68567,3.97,
CI,444,ECE Social Studies Content and Methods,"Focuses on the content and instruction of social studies concepts for grades PreK – 2. Instructional strategies, planning and assessment through an inquiry model of instruction will be emphasized. 3 undergraduate hours. No graduate credit. Prerequisite: For students in the Early Childhood Professional Education concentration.",3,,31945,,
CI,445,Science and Social Studies Inquiry,"This course is an exploration into the construct of inquiry as an essential human trait and methodological approach for teaching and learning. Through the disciplines of science and social studies we will inquire into elements and methods for building inclusive and critical communities of practice, designing curriculum for depth of understanding, and using documentation as democratic action. This course will encompass and revisit enduring understandings from the entire ECE professional program sequence, mediated by Danielson's Framework for Teaching. Cohort members will synthesize the above in the real context of student teaching placements, class meetings, online discussions, and course assignments. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 421. Concurrent enrollment in EDPR 432 is required.",3,,70455,,
CI,448,Teaching Elementary Social Studies,"Course examines the nature and role of social studies in elementary schools, both in terms of the formal curriculum and of the impact of the school as a social system on children's social learning. Examines multiple approaches to what should be experienced and learned in social studies as well as the nature of social inquiry. Various instructional methods emphasizing direct experiences as well as reading are emphasized. Local, state, and national trends in curriculum and evaluation are addressed. Students engage in social inquiry, as well as develop, implement, and evaluate an action research project focusing in depth on a particular practice of social education. 3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to the Elementary Teacher Education Program.",3,,63328,3.76,
CI,451,Teaching Elementary Science II,"Course is the second of two 3-hour science methods courses in the elementary education program. Focus on in-depth understanding of inquiry science teaching. Coursework is integrated with field assignments in schools. Topics include curriculum materials; literacy instruction in science; children's ""thinking"" about science; differentiated instruction; assessment; incorporating technology. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 450; admission to the Elementary Teacher Education Program.",3,,63332,3.86,
CI,465,Language Literacy in Early Childhood Education I,"Basic principles, techniques, and materials for the emergent literacy in infancy through preschool. Emphasizes linguistic and cultural factors in culturally diverse settings. 3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to the Early Childhood Teacher Education Program.",3,,31955,,
CI,466,Language Literacy in Early Childhood Education II,Emphasizes developmentally appropriate practices for the teaching of reading and writing in grades K-2. 3 undergraduate hours. 3 graduate hours. Prerequisite: CI 465.,3,,68570,3.84,
CI,477,Bilingual/ESL Methods &amp; Materials,"Focuses on bilingual and English-as-a-second language (ESL) curriculum development and instruction for bilingual and second-language learners (K-12) in a variety of language and program settings. Emphasizes bilingual and ESL materials selection and development, bilingual and ESL literacy instruction, bilingual and ESL content area instruction, and sheltered English instruction. Issues related to second-language acquisition, cultural and linguistic diversity, and parental and community involvement are reviewed. 4 undergraduate hours. 4 graduate hours. Prerequisite: CI 433 or consent of instructor.",4,,53472,3.79,
CI,487,Data Structures for Computer Science Teachers,"Teaches the fundamentals of data structures and provides opportunities for students to reflect on the importance of data structure knowledge when teaching computer science to high school students. Students will learn the fundamentals of how computers store collections of data, the advantages and disadvantages of different data structures and the importance of selecting the appropriate data representation when designing computer programs. Students will learn how to program various common data structures. Students will develop their computer programming abilities and learn computer programming concepts that are important when developing efficient and reusable data structures. Students will increase their knowledge of object-oriented programming through learning about inheritance and generic data types. Students will learn about dynamic memory management. 4 undergraduate hours. 4 graduate hours. Prerequisite: Students are required to have successfully completed CI 480.",4,,74836,,
CI,501,Curriculum Development for the 21st Century,"Examines a variety of definitions of curriculum development, from past to present. Course activities use theories and research to frame discussions of substantive issues in the field: how learning is influenced by the stated goals of education; the cultural background of diverse learners; structure of the school setting; competencies of teachers; means of student assessment; and approaches to incorporating technology and 21st Century skills into classrooms. 4 graduate hours. No professional credit.",4,,31985,3.97,
CI,509,Curriculum Research,"Reviews the principal methodologies used in research on curriculum problems and guides students through the process of working with data in response to research questions; emphasizes qualitative data collection tools and techniques (e.g., surveys, interviews, observations) as well as various theoretical and methodological approaches (e.g., case study, grounded theory, ethnography); emphasizes conceptual and practical problems. 4 graduate hours. No professional credit.",4,,45214,,
CI,517,Bilingual and English as a Second Language Assessment,Explores the role of assessment in education of culturally and linguistically diverse students in K - 12 classrooms. Current trends in assessment in the United States will be analyzed as well as how assessments are used for the identification and placement of bilingual and ESL students. The use and scoring of language proficiency assessments will be examined along with various forms of classroom-based assessment. Meets ISBE assessment requirements for a bilingual and ESL teaching approval or endorsement. Same as LLS 517. 4 graduate hours. No professional credit. Prerequisite: CI 433 and CI 477 or consent of instructor.,4,,60668,3.86,
CI,537,Discourse in STEM Classrooms,"An overview of relevant literature regarding discourse in STEM classrooms with emphasis on teachers' perspectives, students' perspectives, and interactions between the teacher and the students. Discusses research methodologies for the study of discourse in STEM classrooms and implications of research for the education and the professional development of pre-service and in-service teachers. Prerequisite: Acceptance into a graduate program.",4,,58616,,
CI,542,Science Education and the Philosophy of Science,Surveys issues in philosophy of science that are central to science education through an exploration of the works of twentieth century philosophers of science who were most influential in shaping thinking about science in the science education community. Relevant readings from science and history of science are also explored. Prerequisite: College level coursework in a science discipline or consent of instructor.,4,,74230,,
CI,550,Methods of Educational Inquiry,"Offers a graduate-level introduction to research in education, including quantitative, qualitative and mixed methods designs and approaches. Key concepts include: identifying a research problem, reviewing the literature, design and analysis, communicating evidence, and the ethics of research. Students should gain the ability to effectively evaluate and critique design/methods sections of research publications; plan and design research studies; and organize a presentation of research to an audience of peers. Same as EPSY 550, ERAM 550, and SPED 550. 4 graduate hours. No professional credit.",4,,32001,,
CI,552,Qualitative Writing,"Focuses on analysis of data and writing of qualitative/ethnographic research in educational contexts. Topics include the history of qualitative research practices; approaches to the analysis and interpretation of multiple forms of data, including coding, discourse analysis, text analysis, and structural/post-structural analysis; different styles of qualitative writing; social theory as a framing device; and writing for publication. Provides a theoretically informed but very practical, hands-on approach to qualitative writing for graduate researchers across the broad range of educational and social science contexts. One part of the course focuses on methods of analysis through application, while a second part is designed as a writer's workshop in which students ""write up"" the data from a study in three narrative styles. Assignments include weekly readings, three short writing assignments, and a more substantial writing project. Advanced graduate standing is useful but not required.",4,,57745,,
CI,560,Trends &amp; Issues in Language Arts,"Advanced seminar in literacy for teachers, researchers, and specialists. Focuses on trends and issues in elementary and secondary language arts. Current theories, relevant research and practical applications are considered in relation to reading, writing, listening, and speaking. 4 graduate hours. No professional credit.",4,,68568,,
CI,582,Reading and Writing Across the Curriculum,"Designed for elementary and middle school educators, this course focuses on theory and practice related to both intradisciplinary integration (across the language arts) and interdisciplinary integration (across the content areas). Specific methods and strategies for fostering effective integrated literacy instruction are explored. Prerequisite: CI 475 and CI 476, or equivalent methods course in reading and language arts.",4,,30920,,
CLCV,100,Vocabulary Building from Greek and Latin Roots,"Study of the Greek and Latin roots of English and vocabulary building. Analysis of Greek and Latin roots, prefixes, and suffixes in variety of disciplines and fields (humanities, social sciences, mathematics, science, politics).",3,,70178,2.67,
CLCV,102,Medical Terms-GRK &amp; LAT Roots,Introduction to the study of Greek and Latin medical terms in various medical fields and to the linguistic patterns governing the combination of various roots through practical application of usage.,3,,70175,3.91,
CLCV,111,Mythology of Greece and Rome,"Study of the major myths of Greece and Rome and their impact upon later art, music, and literature. Credit is not given for both CLCV 111 and CLCV 115.",2,,31318,3.4,
CLCV,115,Mythology of Greece and Rome,"Studies the major myths of Greece and Rome and their impact upon later art, music, and literature. Shares two hours of lecture with CLCV 111; additional hour of lecture-discussion for a closer analysis of topics. Credit is not given for both CLCV 115 and CLCV 111.",3,,31319,3.74,
CLCV,116,Introduction to Ancient Roman Culture,"Introductory study of ancient Roman literature, art, and culture.",3,"['Humanities - Hist & Phil', ' Cultural Studies - Western course']",31331,,"[6, 8]"
CLCV,120,The Classical Tradition,"Survey of the Greco-Roman tradition from late antiquity to the present. Examination of pagan culture in medieval Christianity and Islam, the literary tradition of the Troy tale, the rediscovery of Greek texts and the Florentine Renaissance, classical allusions in Shakespeare and Milton, the political foundation of the U.S. constitution, and the persistence of the classical tradition in contemporary American popular culture.",3,"['Humanities - Lit & Arts', ' Cultural Studies - Western course']",70179,3.39,"[6, 8]"
CLCV,132,"Class Archaeology, Rome-Italy",Introduction to the archaeology of Italy and Rome to the fall of the Roman Empire.,3,"['Humanities - Hist & Phil', ' Cultural Studies - Western course']",58508,,"[6, 8]"
CLCV,133,Archaeology of Israel,"Exploration of the archaeology and history of the Near East with a specific focus on the development of Israel. Cultures of the Near East adapted to a rapidly changing world by pioneering the world's earliest innovations in agriculture, urbanism, bronze technology, and writing. We will investigate the Near Eastern background of the Israelites and their neighbors from the beginnings of agriculture during the ""Neolithic Revolution"", to the formation of the world's first cities in the Bronze Age, to the archaeological remnants of the Hebrew Bible. We will investigate the ramifications of wave after wave of military conflict and how this has shaped the Middle East, including the Babylonian Exile, the conquests of Alexander the Great, and the Jewish Revolts against the Romans.",3,"['Camp Honors/Chanc Schol', ' Humanities - Hist & Phil', ' Cultural Studies - Western course']",70705,,"[7, 6, 8]"
CLCV,220,Exploring the Greek and Roman World,"Focused study of topics in ancient Greek and Roman literature, art, archaeology, and culture in their Mediterranean context. May also explore reflections in later literature and art. Same as CWL 220. May be repeated in separate terms, if topics vary.",3,,31332,2.58,
CLCV,222,Introduction to Greek and Roman Theater,"Survey of Greek and Roman theater; analysis of scripts, productions, and theatrical artifacts as reflections of ancient politics, social climate, gender roles and religious beliefs. Same as CWL 264 and THEA 210. Prerequisite: Completion of the Composition I requirement.",3,"['Advanced Composition', ' Humanities - Lit & Arts', ' Cultural Studies - Western course']",67447,,"[2, 6, 8]"
CLCV,224,American Race and Ethnicity in the Classical Tradition,"Survey of American minority cultures and the reception of Greco-Roman culture in literature, film, and politics, with brief units of historical concentration on ancient slavery and proto-racism, Harvard's Indian College, early African-American poets, novelists, educators, and classicists, the Greco-Roman heritage of the Ku Klu Klan, and Civil Rights Movement leaders like Martin Luther King, Jr., Huey P. Newton, and Eldridge Cleaver. Other highlights include Derek Walcott's Caribbean/Homeric Omeros, Erin Gruwell's mixed-race Freedom Writers, and Spike Lee's Chi-Raq.",3,"['Humanities - Lit & Arts', ' Cultural Studies - US Minority course']",71774,3.698571428571429,"[6, 8]"
CLCV,231,Development of Ancient Cities,"Monuments, archaeological remains, and histories illustrating the development of the earliest states and urban centers of the Ancient Mediterranean, including Athens, Rome, Carthage, and Jerusalem. Same as ARTH 217 and JS 231. Prerequisite: Sophomore standing or consent of instructor.",3,"['Humanities - Hist & Phil', ' Cultural Studies - Western course']",31342,3.86,"[6, 8]"
CLCV,444,The Archaeology of Italy,"Monuments, material remains, and sculpture and other arts illustrating the development of Greco-Roman and other ancient Italian civilizations to 330 A. D. Same as ARTH 416. 3 undergraduate hours. 3 graduate hours. Prerequisite: A course in ancient history, art, or language, or consent of instructor.",3,,40328,3.82,
CLE,610,"Faith, Medicine, and End-of-Life Care",Helps students to develop their skills in taking a spiritual history and addressing issues relating to faith; skills in end-of-life care; and understanding of whole person care. No graduate credit. 2 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 4 hours. Prerequisite: Restricted to students enrolled in the Carle Illinois Doctor of Medicine (MD) program.,2,,73254,,
CLE,645,Internal Medicine Clerkship,"The medicine clerkship is a ten-week rotation. This clerkship emphasizes the integration and application of pathophysiology to the diagnosis and management of patients in addition to the skills of history-taking, physical examination, and case presentation. The course is an apprenticeship focusing on the bedside care of patients. Students work closely with house staff members and ward attendings making daily rounds, admitting new patients, and caring for them with the team. No graduate credit. 10 professional hours. Approved for S/U grading only. Available for honor grades. Prerequisite: This course is restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",10,,71229,,
CLE,650,Neurology Clerkship,"The neurology clerkship is a four-week introduction to clinical neurology, the specialty of medicine devoted to patients with diseases of the nervous system. The clerkship emphasizes the basic clinical methods of bedside neurology: Based on the history and examination, students develop skills at neuroanatomical localization and clinical reasoning. Students learn to interpret clinical findings, develop a differential diagnosis, and formulate a plan of evaluation. No graduate credit. 5 professional hours. Approved for S/U grading only. Available for honor grades. Prerequisite: This course is restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",5,,71230,,
CLE,655,Psychiatry Clerkship,"The Psychiatry Clerkship is a four week rotation. All students evaluate and follow patients on inpatient and outpatient services, participating in their patients' care with close attending and resident supervision. The acquisition of clinical skills is emphasized: conducting an interview to obtain a psychiatric history and mental status examination; organizing, recording, and presenting the findings to generate a differential diagnosis; and formulating a treatment plan in accordance with the biopsychosocial model. No graduate credit. 5 professional hours. Approved for S/U grading only. Available for honor grades. Prerequisite: This course is restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",5,,71232,,
CLE,660,Obstetrics &amp; Gynecology Clerkship,"The obstetrics and gynecology clerkship is a five-week rotation. The main objective is to familiarize students with the signs and symptoms of normal and abnormal reproductive function and to teach the basic examinations in obstetrics and gynecology. The course will emphasize and reinforce skills for taking an appropriate history, performing a physical and pelvic examination, formulating a differential diagnosis as well as a treatment plan, and properly managing patients. No graduate credit. 5 professional hours. Approved for S/U grading only. Available for honor grades. Prerequisite: This course is restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",5,,71234,,
