Subject,Course,Name,Description,Credit Hours,Degree Attributes,CRN,Average Grade,Degree Attributes Codes
ACE,432,Advanced Farm Management,Students develop expertise in evaluating and making decisions similar to those faced by farm operators and managers. 3 undergraduate hours. 4 graduate hours. Prerequisite: Junior or senior standing or consent of instructor.,3 OR 4 hours.,,72008,,
ACE,435,Global Agribusiness Management,"Examination of the economic and strategic management of food, textile, and agribusiness firms within a global business environment; topics include the global business environment and its institutions, organizational strategies and policies, and business operations in global agricultural, food and textile industries. 3 undergraduate hours. 3 graduate hours.Prerequisite: ACE 231, ACE 222, or BADM 320 or consent of instructor.",3 hours.,,58953,3.08,
ACE,436,International Business Immersion,"Provides participants an in-depth, experiential immersion into the complex issues and constraints that confront international marketing channel participants. Contextually grounded and themed in a specific industry, the course combines on-campus lectures with an intensive international immersion experience to Europe, Asia, or Latin America. By following the complete marketing channel from raw materials procurement to final consumption, participants gain first-hand knowledge of the necessary managerial decision-making skills required to successfully operate in today's global business environment. Same as BADM 436. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms to a maximum of 6 hours for UG credit and 8 hours for GR credit. Prerequisite: Consent of instructor.",3 OR 4 hours.,,74436,,
ACE,440,Finan Plan for Professionals,"Capstone course applies financial planning principles and concepts in realistic case studies of specific planning needs, requires a comprehensive financial planning exercise, and covers professional ethics and responsibilities. 3 undergraduate hours. 4 graduate hours. Prerequisite: Concurrent enrollment in or completion of ACE 345, ACE 346, ACE 444, and ACE 449.",3 OR 4 hours.,,55461,3.53,
ACE,441,FINRA Professional Exam Review,"Designed to prepare students to sit for the Series 65 Exam, SIE Exam, and begin the journey towards sitting for the CFP® Exam. This course will help students prepare for careers in financial planning, investment management, insurance, brokerage, banking, and credit unions. ACE 441 also serves as a review of content learned in the financial planning concentration. Students are responsible for registering and paying for the certification exam separately. The exam fee ranges from $80-$190. 3 undergraduate hours. No graduate credit. Credit is not given towards graduation for ACE 441 if credit for ACE 398 FP has been earned. Prerequisite: Students should have taken or are concurrently taking: ACE 240, ACE 449, ACE 444 and ACE 349.",3 hours.,,74132,,
ACE,444,Financial Services &amp; Investing Planning,"Advanced skills in and understanding of asset pricing, equity and debt investment, portfolio theory and diversification, asset allocation, financial risk management, and financial intermediation and regulation emphasizing applications in financial planning and agricultural finance. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of ACE 240, ACE 345, or FIN 221 or consent of instructor.",3 OR 4 hours.,,55323,2.59,
ACE,446,Modeling App's Finan Plan,"Improves ability to make effective financial plans and decisions. Involves development of decision tools that are applied to ""real world"" financial data sets and planning/decision-making circumstances. Topics include applied data management techniques (designing queries/storable forms), financial statement analysis, numeric optimization tools, leverage assessment, incorporating risk in decisions, capital budgeting and time value of money, term structure of interest rates, and currency exchange. 2 undergraduate hours. 2 graduate hours. Prerequisite: One of ACE 240, ACE 345, FIN 221; or consent of instructor and advanced knowledge of spreadsheet software equivalent to the coverage of ACE 360.",2 hours.,,49906,2.61,
ACE,449,Retirement &amp; Benefit Planning,"Employee benefit and retirement planning, including employer-sponsored or individually managed options, with particular attention to determining benefit and retirement needs and managing risks in specific planning situations. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both ACE 449 and FIN 434. Prerequisite: ACE 240, ACE 345, or consent of instructor.",3 OR 4 hours.,,52915,3.1,
ACE,451,Agriculture in Intl Dev,"Economics of agricultural development and the relationships between agriculture and other sectors of the economy in developing nations; agricultural productivity and levels of living in the less developed areas of the world; and studies of agricultural development in different world regions including Africa, Asia, and Latin America. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACE 300, ECON 302 or consent of instructor.",3 OR 4 hours.,,49908,3.13,
ACE,456,Agricultural and Food Policies,"Analysis of agricultural and food policies and programs and their effects on producers and consumers of agricultural products. Formulation of agricultural and food policies are examined with an emphasis on historical and current economic problems affecting agriculture and rural America. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACE 300, ECON 302, or consent of instructor.",3 OR 4 hours.,,45927,,
ACE,474,Economics of Consumption,"Concepts, theories, and methods for analysis of the micro and macro aspects of consumption; includes standards and content of consumption and description of consumption patterns and trends in the USA and selected other countries. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACE 300, ECON 302, or consent of instructor; a course in statistics. Restricted to students with junior standing.",3 OR 4 hours.,,40476,3.35,
ACE,476,Behavioral Economics and Financial Decision Making,"Uses applied economics and finance coupled with insights from psychology to better understand human behavior and decision making. Application of core behavioral economic concepts and interventions to address pressing economic and financial challenges. 3 undergraduate hours. 4 graduate hours. Prerequisite: ACE 300, ECON 302 or consent of instructor; a course in statistics. Restricted to students with senior standing.",3 OR 4 hours.,,62224,3.02,
ACE,496,Practicum,"Cooperatively supervised field experience in management and administration in a textile marketing business. Only four hours may be applied to the total required for a graduate degree. At the undergraduate level, up to four hours may be counted toward the hours required in Agricultural and Consumer Economics. 4 to 12 undergraduate hours. 4 to 12 graduate hours.Approved for both letter and S/U grading. Prerequisite: Consent of instructor. Not available to students on probation.",4 TO 12 hours.,,10074,,
ACE,499,Seminar,"Group discussion or an experimental course on a special topic in agricultural and consumer economics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in the same semester to 4 hours, or subsequent terms to a maximum of 12 hours as topics vary.",1 TO 4 hours.,,10078,,
ACE,502,Demand/Supply/Firms/Households,"Applications of demand and supply theories and applications of firm and household behavior. Topics include demand and supply systems, aggregation and separability, dynamics, formation and boundaries of the firm, household decision making, intrahousehold allocation, allocation of time, human capital, and hedonics. Same as ECON 553. Prerequisite: ECON 500 and ACE 501.",4 hours.,,30606,,
ACE,503,Equilibrium and Welfare Econ,"Provides a theoretical and applied treatment of economic equilibrium and the consequences of displacement of equilibrium for the welfare levels of economic agents. Displacement of equilibrium will be shown to be brought about by changes in government policy, technology, and consumer preferences. Welfare measures under partial equilibrium, general equilibrium, and multi-market models will be presented. Includes various applications of welfare economics in the analysis of policy and technological change. Prerequisite: ECON 500 and at least two semesters of college calculus.",4 hours.,,30653,,
ACE,510,Adv Natural Resource Economics,"Economic theory is used to examine the allocation of renewable and efficiency issues that arise from natural resource policy and management issues. Same as ECON 548, ENVS 510, and NRES 510. Prerequisite: ECON 302 or equivalent.",4 hours.,,56381,,
ACE,516,Environmental Economics,Same as ECON 549. See ECON 549.,4 hours.,,61961,,
ACE,530,Microeconometrics,"Applied micro-econometrics concentrating on cross section data, panel data, and treatment effects. Includes methods for estimating treatment effects in the Rubin causal model framework. Emphasis will be placed on econometric procedures relevant for agricultural and applied economists and their implementation in Stata, including Mata. Prerequisite: ECON 506 and ECON 507, or equivalent.",4 hours.,,43619,,
ACE,531,Impact Evaluation,"The problem of identification. Methods for impact evaluation, including randomized field experiments, propensity score matching, differences in differences, instrumental variables, and regression discontinuity. Includes exercises using the econometric software program STATA. Prerequisite: ACE 500 or ECON 500 or equivalent.",2 hours.,,63795,,
ACE,561,Adv Res and Scholarly Comm,"Seminar intended for Ph.D. students who have completed written preliminary examinations. Develops a comprehensive understanding of the research process. Discussions include identification of research topics, structure of research proposals, review of literature, effective communication, management of research activities, and contributions to scholarly debate. Prerequisite: Consent of instructor.",4 hours.,,30663,,
ACE,591,Independent Study,Individual research work under the supervision of an appropriate member of the faculty. Approved for both letter and S/U grading.  May be repeated to a maximum of 8 hours if topics vary.,0 TO 8 hours.,,10085,,
ACE,592,Special Topics,"Group instruction on a special topic under the direction of one or more members of the faculty. Approved for both letter and S/U grading. May be repeated in a semester to a maximum of 8 hours. May be repeated to a maximum of 24 total hours, if topics vary.",0 TO 8 hours.,,43626,2.98,
ACE,594,Seminars and Workshops,Participation in a seminar or workshop with other graduate students and faculty members. Approved for both letter and S/U grading. May be repeated.,0 TO 8 hours.,,75376,,
ACE,599,Thesis Research,Individual research under supervision of members of the graduate teaching faculty in their respective fields. Approved for S/U grading only. May be repeated.,0 TO 16 hours.,,10089,,
ACES,102,Intro Sustainable Food Systems,"An objective approach towards critical systems thinking and towards collaborative analysis across multiple disciplines for the development, production, preparation, consumption, and utilization of food, feed, fiber and energy, while managing the disposal and reuse of byproducts, within complex socioeconomic, ecological and environmental systems. Students will be introduced to the fundamentals of modern crop, livestock, and other agricultural production systems, and consider the future challenges and opportunities in producing enough for a growing world population.",3 hours.,['Nat Sci & Tech - Life Sciences course'],63906,3.24,[0]
ACES,199,Undergraduate Open Seminar,"Experimental course on a special topic in the College of Agricultural, Consumer and Environmental Sciences. Approved for Letter and S/U grading. May be repeated as topics vary.",1 TO 5 hours.,,10094,,
ACES,200,ACES Transfer Orientation,Introduction to College of ACES and campus resources for students new to the College of ACES. Required of all off campus transfer students and optional for Inter College Transfer students. First eight weeks course. Approved for S/U grading only.,0 hours.,,71417,,
ACES,293,International Internship,Supervised learning experience designed for ACES students registering for an academic term abroad and/or for non-degree exchange students enrolling for an academic term at Illinois. The nature of the experience and the setting in which it takes place must be approved in advance by ACES faculty and by representative(s) of institutions/organizations/agencies that cooperate with the College of ACES in student exchange/study abroad programs. 0 to 3 undergraduate hours. Approved for both letter and S/U grading. May be repeated to a maximum of 10 hours.(Summer Session). Prerequisite: Written consent of ACES Study Abroad Office.,0 TO 5 hours.,,10098,,
ACES,295,Undergrad Research or Thesis,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Students may register in more than one section per term. Prerequisite: GPA of 3.0 or above at the time the activity is arranged, and consent of instructor.",1 TO 4 hours.,,11769,,
ACES,299,ACES Study Abroad,"Provides campus credit in the College of Agricultural, Consumer and Environmental Sciences for study at accredited foreign institutions. Final determination of credit granted is made upon the student's successful completion of work. Approved for Letter and S/U grading. May be repeated to a maximum of 36 hours within one calendar year. 0 to 8 undergraduate hours in Summer session. Prerequisite: Consent of major department, college, and Study Abroad Office.",0 TO 18 hours.,,30675,,
ACES,396,Honors Study Abroad Retrospect,"Provides James Scholars with an opportunity to earn honors credit based on a full-term international experience in a university approved study abroad program completed during the academic term preceding enrollment in this course. Students complete an honors assignment related to the experience, approved by the instructor in a Memorandum of Understanding. Students need to earn a grade of at least B- on the honors assignment in order to earn honors credit. No more than 12 hours of special problems, research, thesis and/or individual studies may be counted toward a degree. Credit in this course may serve as only one of the honors course needed to meet James Scholar's Honors Requirements. Prerequisite: Consent of instructor. An approved MOU is required prior to enrollment. Current enrollment in the James Scholar Honors Program is required.",1 OR 2 hours.,,58043,,
ADV,150,Introduction to Advertising,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media, research, consumer behavior, sales promotion and interactive advertising. Topics also include how advertising relates to society in cultural, social, ethical and regulatory contexts. Open to all undergraduate majors.",3 hours.,['Social & Beh Sci - Soc Sci course'],74341,3.825,[1]
ADV,175,Diversity in Advertising,"Examines the multifaceted role diversity (including racial, gender, orientation, ability status) plays in the delivery and reception of advertising. Additionally, it examines the development of diversity as a marketplace practice and on the development of the advertising industry. We'll analyze advertising using a historical, cultural, and social perspective and address issues of diversity in the industry. We will also critically review current issues of multicultural, transcultural and multidimensional advertising and marketing. In the process we’ll grapple with current theories on race and implicit /explicit bias and prejudice and their impact upon the production of advertising and consumer communications.",3 hours.,['Cultural Studies - US Minority course'],74338,,[12]
ADV,199,Undergraduate Seminar,"May be repeated to a maximum of 12 hours in separate semesters, if topics vary.",1 to 5 hours.,,43676,,
ADV,200,Data Literacy,"No matter what your major, or the job you plan to get, becoming fluent at working with data is a sought-after skill. Through lectures and guided workshops, this course provides hands-on- training on fundamentals of data exploration (asking the right questions), data gathering and data analysis (understanding and describing the situation) as well as communicating with data (telling a compelling story through data visualizations). Students learn how to find datasets in online archives and repositories, and are introduced to the commonly used software packages and techniques (spreadsheets, text analytics, social computing). We also focus on critical issues such as data ethics and privacy. We also learn basic computer programming aimed at data analysis. No prior knowledge of research methods, statistics or programming is required.",3 hours.,['Quantitative Reasoning I course'],74331,,[14]
ADV,270,Principles of Sales,"This course focuses on the development of the sales process and the role of sales and sales people within organizations. It will also consider consultative and persuasive selling and interpersonal relationship building. It will include sales proposals, and simulation exercises that will reinforce concepts learned within the classroom. It will also feature exposure to sales experts from different areas of business.",3 hours.,,70232,3.24,
ADV,281,Advertising Research Methods,"Introduces students to the wide spectrum of qualitative and quantitative research techniques that are commonly used in the advertising industry. In addition to examining the principles, methods and techniques of advertising research, the course will address issues such as when research should and should not be conducted, analyzing data sets, forming meaningful research questions, figuring out how to answer the questions, and presenting the answers to these questions in a clear and compelling manner. Credit is not given for ADV 281 if credit for ADV 481 has been earned. Prerequisite: ADV 150, STAT 100 or equivalent.",3 hours.,,68850,2.915,
ADV,283,Advertising and Brand Strategy,"Designed to help students acquire brand decision-making skills. Advertising and marketing theories, practical problems and traditional cases will be studied as they learn to build a strong brand strategy that will lead to a strong brand advertising strategy. This encompasses every facet of making advertising decisions for a brand. This involves understanding the content a consumer requires, how the consumer will come in contact with the brand, and what is the goal of the connection between consumer and content/contact. Prerequisite: ADV 150, ADV 281.",3 hours.,,60080,3.635,
ADV,284,Consumer Insight,"Course focuses on methods of eliciting consumer insight. In particular, this class introduces the process and applied outcomes of consumer insight in terms of building brand strategy. Techniques for persuasive presentation of insight will also be introduced. Prerequisite: ADV 281.",3 hours.,,68858,3.52,
ADV,290,Special Topics in Advertising,"Designed to offer freshmen and sophomores opportunity to take courses in advertising's most recent developments. May be repeated to a maximum of 12 hours in separate terms, if topics vary.",1 to 3 hours.,,73632,3.4450000000000003,
ADV,301,Becoming an Influencer,"Explores the everyday impact the influencer economy has on our purchasing decisions, political engagement, and social activism. This new celebrity class illustrates the critical importance that public relations, advertising, marketing, and communications management has on influencer marketing and influencer relations. The course will identify the evolving strategies, tactics, and techniques that drive the influencer ecosystem, evaluate the social and cultural impact of influencer marketing and engagement on organizations and audiences, and assess the racial and gender dynamics that are created and recreated within this quickly evolving marketing and creative arena. Finally, students will focus on the development of influencer generated branded content across for-profit, nonprofit, and human rights organizations. Eligible for the PR Minor: https://media.illinois.edu/pr_minor. Credit is not given towards graduation for both ADV 301 and ADV 290.",3 hours.,,74402,,
ADV,305,Advertising Technology and the Digital World,"Digital communication and information technologies have profoundly changed nearly every aspect of our day-to-day lives. Advertising stands as the central funding model for many of these technologies, including search engines, social networks, news media, and a host of other platforms and services. This course systematically examines the role of these technologies in shaping our lives—and the role of the advertising industry in shaping these technologies. It is designed to prepare students to live and work in our increasingly digital world, and to understand the impact of digital communication and information technologies in their lives.",3 hours.,['Social & Beh Sci - Soc Sci course'],67033,3.76,[1]
ADV,310,Intro to Public Relations,"Introduces the student to the practice and profession of public relations. Course material covers topics such as the history of public relations, the role of law and ethics in public relations, and theories that guide public relations research and practice. The course will also introduce roles played by public relations practitioners within organizations, such as media relations, consumer relations, employee relations, community relations, and investor relations.",3 hours.,,54936,3.48,
ADV,314,Sports Public Relations,"Sports public relations is designed to show the management function of developing and sustaining two-way lines of communication, understanding, acceptance, and cooperation between a sports organization and all the other stakeholders, including team, athlete, league, organization, company and brand and its respective publics. Prerequisite: Restricted to students with Sophomore, Junior, or Senior class standing. Eligible for PR minor.",3 hours.,,73629,3.51,
ADV,320,Sales Management,"This course addresses conceptual and methodological issues related to the management of sales within organizations. Responsibilities, function and skills necessary to be an effective sales manager are covered, including an evaluation of sales organization structures, recruiting, selecting, testing, and training of salespeople. Related topics include compensation plans, controlling expenses, sales forecasting/projections, routing, quotas, ethics and motivation. It will consist of lectures, role playing exercises, and also may include guest lectures from industry leaders/alumni with experience in sales management. Prerequisite: ADV 270 (Principles of Sales).",3 hours.,,70233,3.26,
ADV,350,Writing for Public Relations,"Focuses on the strategy of crafting and delivering PR messages to various audiences with special emphasis on pre-writing, preparation, revision and presentation. Prerequisite: ADV 310.",3 hours.,,55675,3.64,
ADV,370,Sales and the Consumer,"This course focuses on different topics related to consumer behavior management, and the consumer's relationships to the sales process. It will include case studies and exercises that will facilitate application of effective sales techniques. Prerequisite: ADV 270 (Principles of Sales).",3 hours.,,70234,3.27,
ADV,390,Content Creation,"Explores theories of creativity; situates creativity and creative practices within the social structure of organizations that develop creative content; examines the relationship between creative strategy, creative concepts and creative executions; exposes students to the practice of creating content for traditional and non-traditional media vehicles. Prerequisite: ADV 284.",3 hours.,,60085,3.05,
ADV,392,Advertising Immersion,"Covers a variety of topics designed to help students learn more about, and be better prepared to enter, the advertising industry as professionals. Course content will include an overview of careers in the advertising industry while paying particular attention to areas of future career growth. This course is centered on field study where students will participate in interactive discussions with industry professionals at media related agencies and other industry businesses. Additional fees may apply. See Class Schedule. Approved for S/U grading only. May be repeated in separate terms to a maximum of 6 hours, if topics vary. Credit hour(s) are determined by the instructor and approved by the department head.",0 TO 6 hours.,,73423,,
ADV,393,Advertising and Society,"Provides a critical understanding of advertising's role in modern society. Advertising will be studied as a cultural force and social institution. Its role will be examined in relation to communications, economics, and political and legal systems. Credit is not given for ADV 393 if credit for ADV 493 has been earned. Prerequisite: Restricted to students with Sophomore, Junior, or Senior class standing.",3 hours.,['Social & Beh Sci - Soc Sci course'],60086,3.16,[1]
ADV,396,Research Experience in Advertising,"Supervised participation in research and scholarly activities, usually as an assistant to an investigator. Approved for Letter and S/U grading. May be repeated to a maximum of 9 hours. Prerequisite: ADV 150, ADV 281, or written consent of instructor.",1 TO 3 hours.,,67032,,
ADV,400,Special Problems,"Special projects, research, and independent reading in advertising for students capable of individual work under the guidance of a faculty adviser. 0 to 3 undergraduate hours. No graduate credit. May be repeated in the same or in multiple semesters, if topics vary. Prerequisite: Written research proposal and consent of department.",0 TO 3 hours.,,10112,,
ADV,409,Media Entrepreneurship,"Introduces students to the foundations of entrepreneurship and evolving business models for media. Students are introduced to the foundation and context of entrepreneurship. The course will cover the skills and practices necessary for new entrepreneurial ventures, as well as the processes of evaluating an idea, assessing the market, and implementing a new venture. Finally, students will examine business case studies for both successful and unsuccessful media start-ups. 3 undergraduate hours. No graduate credit. Prerequisite: Junior or senior standing in the College of Media.",3 hours.,,68732,3.92,
ADV,410,Public Relations Strategies,"Examines the intersection of public relations strategies and communication tactics used by organizations to meet reputation and relationship management objectives with relevant publics and stakeholder groups, such as journalists, consumers, employees, investors, government officials and agencies and community members. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 310.",3 hours.,,50144,3.64,
ADV,454,Creative Concepts II,This portfolio-oriented course builds upon the core competencies acquired in ADV 452 and applies them to solving real-world advertising problems with integrated creative consumer communications efforts than span traditional and new media. 3 undergraduate hours. 3 graduate hours. Prerequisite: ADV 452.,3 hours.,,52662,,
ADV,460,Innovations in Advertising,"Intended to improve creative and critical thinking skill in advertising planning by understanding the core technology and perspective of digital and other innovative media in the context of integrated communication. This will allow students to understand how consumers perceive and process digital advertising messages; to research critical questions in digital consumer behavior; to learn how to utilize digital and non-digital media in the context of integrated communication; to apply knowledge of digital communication technology to the real-world advertising cases. 3 undergraduate hours. 3 graduate hours. Credit is not given for ADV 460 if credit for the Digital Advertising section of ADV 490 has been earned. Prerequisite: ADV 283, ADV 284. Restricted to Advertising or Agricultural Communications or Computer Science & Advertising or Ag Communications-Advertising major(s) or minor(s). Restricted to students with Junior, Senior, or Graduate class standing. Graduate students need the course instructor's prior permission to enroll the course.",3 hours.,,60087,3.643333333333333,
ADV,461,Computational Advertising,"Surveys the emerging landscape of computational advertising. It will provide students with a thorough understanding of the technologies including web-search, auctions, behavioral targeting, and mechanisms for viral marketing that underpin the display of advertisements on a variety of locations. These locations include web pages (banner ads), on prominent search engines (text ads), on social media platforms, as well as cell phones. The students shall also learn about new research areas in computational advertising including electronic billboards, moving objects (banners atop taxi cabs) and algorithmic synthesis of personalized advertisements. This class will also discuss issues related to consumer privacy. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 460. Junior or senior standing required.",3 hours.,,70249,,
ADV,462,Computational Advertising Infrastructure,Same as CS 469. See CS 469.,3 OR 4 hours.,,74910,,
ADV,480,Social Media Analytics,"Social media analytics is the art and science of extracting valuable hidden insights from vast amounts of semi-structured and unstructured social media data to enable informed and insightful decision making. ADV 480 is an advanced course designed to provide the students with (1) well-grounded understanding of social media analytics, (2) techniques of extracting and analyzing Twitter analytics, and (3) skills of interpreting and aligning insights gained with organizational goals and objectives. 3 undergraduate hours. 3 graduate hours. Credit is not given towards graduation for ADV 480 if credit for ADV 490 SMA Social Media Analytics has been earned. Prerequisite: Restricted to students with Junior, Senior, or Graduate class standing.",3 hours.,,74411,,
ADV,483,Audience Analysis,"Analyzes audiences and matches consumer insights with strategic ideas for brand communication, contact, and connection. 3 undergraduate hours. No graduate credit. Prerequisites: ADV 283 and ADV 284.",3 hours.,,57841,2.9800000000000004,
ADV,490,Advanced Special Topics in Advertising,"Covers current issues in various advertising areas not studied extensively in other courses. 1 to 3 undergraduate hours. 1 to 3 graduate hours. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: Announced separately for each topic. Restricted to students with Junior, Senior, or Graduate class standing.",1 TO 3 hours.,,58648,,
ADV,492,Tech and Advertising Campaigns,"With the maturation of the internet as an advertising and media channel, advertising, journalism, and communications students need to know more about technology and how that impacts their messages and designs. Likewise, computer scientists could benefit from knowledge of what the end user is looking for when designing web content, applications and other web-based media. Students in this course will gain design knowledge as well as a hands-on experience in completing a technology-driven advertising campaign. Students will participate in engineering, advertising and project management activities with individual as well as team responsibilities. Same as CS 468. 3 undergraduate hours. No graduate credit. Credit is not given for ADV 492 and ADV 498. Prerequisite: CS 225 or consent of instructors. Junior or senior standing in Advertising or Computer Science.",3 hours.,,64125,,
ADV,495,Internship Seminar,"Seminar based on internship experience. Offered for College of Media students who complete an approved professional, industry related internship. 1 undergraduate hour. 1 graduate hour. Approved for S/U grading only. May be repeated in the same term to a maximum of 2 undergraduate hours or 2 graduate hours. May be repeated in subsequent terms to a maximum of 3 undergraduate hours or 3 graduate hours. Prerequisite: Consent of instructor.",0 TO 1 hours.,,49210,,
ADV,498,The Sandage Project,"This course is named after the founder of the Advertising Department, Charles H. Sandage (known as the ""father of advertising education""). His vision of educating the future of the industry was grounded in theoretical and foundational courses emphasizing the ""why of advertising"" - not just the ""how."" In this course, students will integrate the concepts, experiences, and skills that have been learned in the curriculum with a service-learning project. 3 undergraduate hours. No graduate credit. Prerequisite: ADV 283, ADV 390 and ADV 460.",3 hours.,,63424,3.685,
ADV,509,Media Entrepreneurship,"Introduces students to the foundations of entrepreneurship and evolving business models for media. Students are introduced to the foundation and context of entrepreneurship. The course will cover the skills and practices necessary for new entrepreneurial ventures, as well as the processes of evaluation an idea, assessing the market, and implementing a new venture. Finally, students will examine business case studies for both successful and unsuccessful media start-ups. 3 graduate hours. No professional credit. Credit is not given for both ADV 409 and ADV 509. Prerequisite: Limited to MS Advertising students.",3 hours.,,68920,,
ADV,582,Qualitative Rsrch in Advert,Treatment of basic research concepts and procedures in the social sciences with emphasis on advertising. Prerequisite: Consent of the department.,3 hours.,,30749,,
ADV,588,Graduate Seminar II,Students write research proposals in this course. Prerequisite: The grade of B or better in ADV 587.,3 hours.,,57001,,
ADV,590,Special Topics in Advertising,May be repeated in the same or in multiple semesters if topics vary. Prerequisite: Consent of department.,1 TO 4 hours.,,10116,,
ADV,598,Professional Project,"This course serves as a capstone, requiring the student to demonstrate a mastery of knowledge in the primary areas of advertising. Approved for S/U grading only. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: A grade of B or better in ADV 588.",0 or 6 hours.,,71047,,
ADV,599,Thesis Research,Approved for S/U grading only. May be repeated in separate terms. Prerequisite: ADV 588 and consent of the department.,0 TO 6 hours.,,10120,,
AE,140,Aerospace Computer-Aided Design,Computer-aided design (CAD) software modeling of engineered components. Sketching and three-dimensional solid modeling. Complex surface modeling. Production of assembly drawings and exploded views. Creation of dimensioned drawings using best practices for manufacturing. Sketching of parts in isometric views and multi-view drawings along with spatial visualization. Aerospace engineering-themed final project. Credit is not given for AE 140 and either SE 101 or ME 170. Prerequisite: Restricted to Aerospace Majors.,2 hours.,,72380,3.54,
AE,199,Undergraduate Open Seminar,Undergraduate Open Seminar. Approved for Letter and S/U grading. May be repeated.,0 TO 5 hours.,,10004,,
AE,202,Aerospace Flight Mechanics,"Fundamental principles of aerospace flight mechanics applied to spacecraft and aircraft. Orbital mechanics, rocket propulsion, and dynamics and control applied to spacecraft design. Aerodynamics, maneuvering, stability and flight performance applied to aircraft design. Prerequisite: Credit or concurrent registration in TAM 212.",3 hours.,,54415,3.41,
AE,298,Special Topics,Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites. May be repeated if topics vary.,1 TO 4 hours.,,69937,,
AE,311,Incompressible Flow,"Equations of motion for incompressible flow, both inviscid and viscous; potential flow theory, inviscid airfoil theory: two- and three-dimensional, Navier-Stokes equations, laminar boundary layer and transition to turbulence. Prerequisite: Credit or concurrent registration in AE 202 and MATH 241.",3 hours.,,65567,3.63,
AE,312,Compressible Flow,"Dynamics of compressible fluid; conservation of mass, momentum, and energy; one-dimensional and quasi-one-dimensional flow; oblique shock waves & Parandtl-Meyer expansion fans; unsteady wave motion; linearized theory. Application to nozzles, diffusers, airfoils, shock tubes and other geometries. Prerequisite: AE 202 and MATH 285. Credit or concurrent registration in ME 200.",3 hours.,,29874,2.88,
AE,321,Mechs of Aerospace Structures,"Fundamental concepts in the linear theory of elasticity, including stress, strain, equilibrium, compatibility, material constitution and properties. Failure mechanisms and criteria. Application to plane stress-strain problems, beams in extension and bending, and shafts in torsion. Prerequisite: MATH 285 and one of TAM 210 or TAM 211.",3 hours.,,65568,2.63,
AE,323,Applied Aerospace Structures,"Fundamental concepts of stress, strain, equilibrium, compatibility, material constitution and properties. Analysis of beams and shafts of monocoque and semi-monocoque construction. Energy methods. Prerequisite: AE 321, MATH 241, MATH 285, and one of TAM 210 or TAM 211.",3 hours.,,54418,2.9,
AE,352,Aerospace Dynamical Systems,"Particle kinematics and dynamics; Lagrange's equations; vibration of multiple degree-of-freedom systems; rotational kinematics and dynamics of rigid bodies. Credit is not given toward graduation for both AE 352 and TAM 412. Prerequisite: MATH 225, MATH 257, or MATH 415; MATH 285, MATH 284, MATH 286, or MATH 441; and TAM 212.",3 hours.,,65569,2.96,
AE,353,Aerospace Control Systems,"Modeling of linear dynamic systems; Laplace transform techniques; linear feedback control systems; stability criteria; design techniques. Credit is not given for both AE 353 and either GE 320 or ME 340. Prerequisite: MATH 225, MATH 285, and TAM 212.",3 hours.,,29907,3.29,
AE,370,Aerospace Numerical Methods,"Numerical methods used in aerospace engineering. Numerical integration, curve fitting, root finding, numerical solution of ODE, solution of linear systems of equations. Finite difference. Rayleigh-Ritz, and Finite element methods. Applications to simple structural mechanics and aerodynamics problems encountered in aerospace engineering. Prerequisite: Credit or concurrent registration in AE 311 or AE 312; credit or concurrent registration in AE 321 or AE 323.",3 hours.,,54470,3.1,
AE,395,Honors Project,Special aerospace engineering project or reading course for James Scholars in engineering. Prerequisite: Consent of instructor.,1 TO 4 hours.,,10012,,
AE,396,Honors Seminar,Special lecture sequences or discussion groups arranged each term to bring James Scholars in engineering into direct contact with the various aspects of engineering practices and philosophy. Prerequisite: Consent of instructor.,1 TO 4 hours.,,10015,,
AE,397,Independent Study,Independent theoretical and experimental projects in aerospace engineering. May be repeated. Prerequisite: Consent of instructor.,1 TO 3 hours.,,10008,,
AE,398,Special Topics,Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites. May be repeated if topics vary.,1 TO 4 hours.,,73429,,
